"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 3 - caotico - random walk.nlogo"
"chaotic_walk"
"02/10/2025 20:53:00:300 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","[step]","int mean [pxcor] of turtles","int mean [pycor] of turtles"
"1","0","13","13"
"1","1","13","13"
"1","2","13","13"
"1","3","13","13"
"1","4","13","13"
"1","5","13","13"
"1","6","13","13"
"1","7","13","13"
"1","8","13","13"
"1","9","13","13"
"1","10","13","13"
"1","11","13","13"
"1","12","13","13"
"1","13","13","13"
"1","14","13","13"
"1","15","13","13"
"1","16","13","13"
"1","17","13","13"
"1","18","13","13"
"1","19","13","13"
"1","20","13","13"
"1","21","13","13"
"1","22","13","13"
"1","23","13","13"
"1","24","13","13"
"1","25","13","13"
"1","26","13","12"
"1","27","13","12"
"1","28","13","12"
"1","29","13","12"
"1","30","13","12"
"1","31","14","12"
"1","32","13","12"
"1","33","13","12"
"1","34","13","12"
"1","35","13","12"
"1","36","13","12"
"1","37","13","12"
"1","38","13","12"
"1","39","13","12"
"1","40","13","12"
"1","41","13","12"
"1","42","13","12"
"1","43","13","12"
"1","44","13","12"
"1","45","13","12"
"1","46","13","12"
"1","47","13","12"
"1","48","13","12"
"1","49","13","12"
"1","50","13","12"
"1","51","13","12"
"1","52","13","12"
"1","53","13","12"
"1","54","13","12"
"1","55","13","12"
"1","56","13","12"
"1","57","13","12"
"1","58","13","12"
"1","59","13","12"
"1","60","13","12"
"1","61","13","12"
"1","62","13","12"
"1","63","13","12"
"1","64","13","12"
"1","65","13","12"
"1","66","13","12"
"1","67","13","12"
"1","68","13","12"
"1","69","13","12"
"1","70","13","12"
"1","71","13","12"
"1","72","13","12"
"1","73","13","12"
"1","74","13","12"
"1","75","13","12"
"1","76","13","12"
"1","77","13","12"
"1","78","13","12"
"1","79","13","12"
"1","80","13","12"
"1","81","13","12"
"1","82","13","12"
"1","83","13","11"
"1","84","13","12"
"1","85","13","11"
"1","86","13","11"
"1","87","13","11"
"1","88","13","11"
"1","89","13","11"
"1","90","13","11"
"1","91","13","11"
"1","92","13","11"
"1","93","13","12"
"1","94","13","12"
"1","95","13","12"
"1","96","13","12"
"1","97","13","12"
"1","98","13","12"
"1","99","13","12"
"1","100","13","11"
"1","101","13","11"
"1","102","13","11"
"1","103","12","12"
"1","104","12","12"
"1","105","12","12"
"1","106","12","12"
"1","107","13","12"
"1","108","12","11"
"1","109","13","11"
"1","110","13","11"
"1","111","13","11"
"1","112","13","12"
"1","113","13","12"
"1","114","13","12"
"1","115","13","12"
"1","116","13","12"
"1","117","13","12"
"1","118","13","12"
"1","119","13","12"
"1","120","13","12"
"1","121","13","12"
"1","122","13","12"
"1","123","13","12"
"1","124","13","12"
"1","125","13","12"
"1","126","13","12"
"1","127","13","12"
"1","128","13","12"
"1","129","13","12"
"1","130","13","12"
"1","131","13","12"
"1","132","13","12"
"1","133","13","12"
"1","134","13","12"
"1","135","14","12"
"1","136","14","12"
"1","137","14","12"
"1","138","14","12"
"1","139","14","12"
"1","140","14","12"
"1","141","14","12"
"1","142","14","12"
"1","143","14","12"
"1","144","14","12"
"1","145","14","12"
"1","146","14","12"
"1","147","14","12"
"1","148","14","12"
"1","149","14","12"
"1","150","14","12"
"1","151","14","11"
"1","152","14","11"
"1","153","13","11"
"1","154","13","11"
"1","155","13","11"
"1","156","14","11"
"1","157","14","11"
"1","158","14","11"
"1","159","13","12"
"1","160","14","12"
"1","161","14","12"
"1","162","13","12"
"1","163","13","12"
"1","164","13","12"
"1","165","13","12"
"1","166","13","12"
"1","167","13","12"
"1","168","13","12"
"1","169","13","12"
"1","170","13","12"
"1","171","13","12"
"1","172","13","12"
"1","173","13","12"
"1","174","13","12"
"1","175","13","12"
"1","176","13","12"
"1","177","13","12"
"1","178","13","12"
"1","179","13","12"
"1","180","13","12"
"1","181","13","12"
"1","182","13","12"
"1","183","13","12"
"1","184","13","12"
"1","185","13","12"
"1","186","13","12"
"1","187","13","12"
"1","188","13","12"
"1","189","13","12"
"1","190","13","12"
"1","191","13","12"
"1","192","13","12"
"1","193","13","12"
"1","194","13","12"
"1","195","13","12"
"1","196","13","12"
"1","197","13","11"
"1","198","13","11"
"1","199","13","11"
"1","200","13","11"
"1","201","13","11"
"1","202","13","11"
"1","203","13","11"
"1","204","13","11"
"1","205","13","11"
"1","206","13","12"
"1","207","13","12"
"1","208","13","12"
"1","209","13","12"
"1","210","13","12"
"1","211","13","12"
"1","212","13","12"
"1","213","13","12"
"1","214","13","12"
"1","215","13","12"
"1","216","13","12"
"1","217","13","12"
"1","218","13","12"
"1","219","13","12"
"1","220","13","12"
"1","221","13","12"
"1","222","13","12"
"1","223","13","12"
"1","224","13","12"
"1","225","13","12"
"1","226","13","12"
"1","227","13","12"
"1","228","13","12"
"1","229","13","12"
"1","230","13","12"
"1","231","13","12"
"1","232","13","12"
"1","233","13","12"
"1","234","13","12"
"1","235","13","12"
"1","236","13","12"
"1","237","13","12"
"1","238","13","12"
"1","239","13","12"
"1","240","13","12"
"1","241","13","12"
"1","242","13","12"
"1","243","13","12"
"1","244","13","12"
"1","245","13","12"
"1","246","13","12"
"1","247","13","12"
"1","248","13","12"
"1","249","13","12"
"1","250","14","12"
"1","251","14","12"
"1","252","13","12"
"1","253","13","12"
"1","254","14","12"
"1","255","14","12"
"1","256","14","12"
"1","257","14","12"
"1","258","14","12"
"1","259","14","12"
"1","260","14","12"
"1","261","14","12"
"1","262","14","12"
"1","263","14","12"
"1","264","14","12"
"1","265","14","12"
"1","266","14","12"
"1","267","14","12"
"1","268","14","12"
"1","269","14","12"
"1","270","14","13"
"1","271","14","12"
"1","272","14","12"
"1","273","14","12"
"1","274","14","13"
"1","275","14","13"
"1","276","15","13"
"1","277","14","13"
"1","278","15","13"
"1","279","15","12"
"1","280","14","13"
"1","281","15","12"
"1","282","14","12"
"1","283","14","12"
"1","284","14","13"
"1","285","14","13"
"1","286","14","13"
"1","287","14","12"
"1","288","14","12"
"1","289","14","12"
"1","290","14","12"
"1","291","14","12"
"1","292","14","12"
"1","293","14","12"
"1","294","14","12"
"1","295","14","12"
"1","296","14","12"
"1","297","14","12"
"1","298","14","12"
"1","299","14","12"
"1","300","14","12"
"1","301","14","12"
"1","302","14","12"
"1","303","14","12"
"1","304","14","12"
"1","305","14","13"
"1","306","14","12"
"1","307","14","12"
"1","308","14","12"
"1","309","14","12"
"1","310","14","12"
"1","311","14","12"
"1","312","14","12"
"1","313","14","12"
"1","314","14","12"
"1","315","14","12"
"1","316","14","12"
"1","317","14","13"
"1","318","14","13"
"1","319","14","13"
"1","320","14","13"
"1","321","14","13"
"1","322","13","13"
"1","323","13","13"
"1","324","13","13"
"1","325","14","13"
"1","326","14","12"
"1","327","14","13"
"1","328","14","12"
"1","329","14","13"
"1","330","14","13"
"1","331","14","13"
"1","332","14","13"
"1","333","14","13"
"1","334","14","13"
"1","335","14","13"
"1","336","13","13"
"1","337","13","13"
"1","338","13","13"
"1","339","13","13"
"1","340","13","13"
"1","341","13","13"
"1","342","13","13"
"1","343","13","13"
"1","344","13","13"
"1","345","13","13"
"1","346","13","13"
"1","347","13","13"
