"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 2 - complejo - random walker.nlogo"
"complex_experiment_100"
"09/23/2024 10:38:20:394 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","30","0","30"
"[run number]","[step]","int mean [pxcor] of turtles","int mean [pycor] of turtles"
"1","0","14","16"
"1","1","14","16"
"1","2","15","16"
"1","3","15","16"
"1","4","15","16"
"1","5","14","16"
"1","6","15","16"
"1","7","15","16"
"1","8","15","16"
"1","9","15","16"
"1","10","15","16"
"1","11","15","16"
"1","12","15","16"
"1","13","15","16"
"1","14","15","16"
"1","15","15","16"
"1","16","15","16"
"1","17","15","16"
"1","18","15","16"
"1","19","15","16"
"1","20","16","17"
"1","21","16","16"
"1","22","16","16"
"1","23","16","16"
"1","24","16","16"
"1","25","16","16"
"1","26","16","16"
"1","27","16","16"
"1","28","16","16"
"1","29","16","16"
"1","30","16","16"
"1","31","16","16"
"1","32","16","16"
"1","33","16","16"
"1","34","16","16"
"1","35","17","16"
"1","36","17","16"
"1","37","17","16"
"1","38","17","16"
"1","39","17","17"
"1","40","17","17"
"1","41","17","17"
"1","42","17","17"
"1","43","17","17"
"1","44","17","17"
"1","45","17","17"
"1","46","17","17"
"1","47","16","17"
"1","48","16","17"
"1","49","16","17"
"1","50","16","17"
"1","51","16","17"
"1","52","16","17"
"1","53","16","17"
"1","54","16","17"
"1","55","16","17"
"1","56","16","18"
"1","57","16","18"
"1","58","16","17"
"1","59","16","18"
"1","60","17","18"
"1","61","17","18"
"1","62","16","18"
"1","63","17","18"
"1","64","17","18"
"1","65","17","18"
"1","66","17","18"
"1","67","17","18"
"1","68","17","18"
"1","69","17","18"
"1","70","17","18"
"1","71","16","18"
"1","72","16","18"
"1","73","16","19"
"1","74","16","19"
"1","75","16","18"
"1","76","16","18"
"1","77","16","18"
"1","78","16","18"
"1","79","16","18"
"1","80","16","18"
"1","81","17","18"
"1","82","16","18"
"1","83","16","18"
"1","84","17","18"
"1","85","17","18"
"1","86","17","18"
"1","87","16","18"
"1","88","17","18"
"1","89","17","18"
"1","90","17","18"
"1","91","17","18"
"1","92","17","18"
"1","93","17","18"
"1","94","17","18"
"1","95","17","18"
"1","96","17","18"
"1","97","17","18"
"1","98","17","18"
"1","99","17","18"
"1","100","17","18"
"1","101","17","18"
"1","102","17","18"
"1","103","17","18"
"1","104","17","18"
"1","105","17","18"
"1","106","17","18"
"1","107","17","18"
"1","108","17","18"
"1","109","17","18"
"1","110","17","18"
"1","111","17","18"
"1","112","17","18"
"1","113","17","18"
"1","114","17","18"
"1","115","17","18"
"1","116","17","18"
"1","117","17","18"
"1","118","17","18"
"1","119","17","18"
"1","120","17","18"
"1","121","17","18"
"1","122","17","18"
"1","123","17","18"
"1","124","17","17"
"1","125","17","18"
"1","126","17","18"
"1","127","17","18"
"1","128","18","18"
"1","129","18","17"
"1","130","18","17"
"1","131","18","17"
"1","132","17","17"
"1","133","17","17"
"1","134","17","17"
"1","135","17","18"
"1","136","17","18"
"1","137","18","17"
"1","138","18","17"
"1","139","17","17"
"1","140","17","17"
"1","141","17","17"
"1","142","17","17"
"1","143","17","18"
"1","144","17","18"
"1","145","17","18"
"1","146","17","18"
"1","147","17","18"
"1","148","17","18"
"1","149","17","18"
"1","150","17","18"
"1","151","17","18"
"1","152","17","18"
"1","153","17","18"
"1","154","17","18"
"1","155","16","19"
"1","156","16","19"
"1","157","16","19"
"1","158","16","19"
"1","159","16","18"
"1","160","16","18"
"1","161","15","18"
"1","162","15","18"
"1","163","15","18"
"1","164","15","18"
"1","165","15","18"
"1","166","15","18"
"1","167","15","18"
"1","168","15","18"
"1","169","15","18"
"1","170","15","18"
"1","171","15","18"
"1","172","15","18"
"1","173","15","19"
"1","174","15","19"
"1","175","15","19"
"1","176","15","19"
"1","177","15","19"
"1","178","15","19"
"1","179","15","19"
"1","180","15","19"
"1","181","15","19"
"1","182","15","19"
"1","183","15","19"
"1","184","15","19"
"1","185","15","19"
"1","186","15","19"
"1","187","15","19"
"1","188","15","19"
"1","189","15","19"
"1","190","15","19"
"1","191","15","19"
"1","192","15","19"
"1","193","15","19"
"1","194","15","19"
"1","195","14","19"
"1","196","14","19"
"1","197","14","19"
"1","198","14","19"
"1","199","14","19"
"1","200","14","19"
"1","201","15","19"
"1","202","14","19"
"1","203","14","19"
"1","204","14","18"
"1","205","14","18"
"1","206","14","18"
"1","207","14","19"
"1","208","14","19"
"1","209","14","19"
"1","210","14","19"
"1","211","14","19"
"1","212","14","19"
"1","213","14","19"
"1","214","14","18"
"1","215","14","18"
"1","216","14","19"
"1","217","14","19"
"1","218","14","18"
"1","219","14","18"
"1","220","14","18"
"1","221","14","18"
"1","222","13","19"
"1","223","13","19"
"1","224","13","18"
"1","225","13","18"
"1","226","13","18"
"1","227","13","18"
"1","228","13","18"
"1","229","13","18"
"1","230","13","18"
"1","231","13","18"
"1","232","14","18"
"1","233","14","18"
"1","234","14","18"
"1","235","14","17"
"1","236","14","17"
"1","237","14","17"
"1","238","14","17"
"1","239","14","16"
"1","240","14","17"
"1","241","14","17"
"1","242","14","17"
"1","243","14","17"
"1","244","14","17"
"1","245","14","16"
"1","246","13","16"
"1","247","13","16"
"1","248","14","16"
"1","249","14","16"
"1","250","13","16"
"1","251","13","16"
"1","252","13","16"
"1","253","14","16"
"1","254","14","16"
"1","255","14","16"
"1","256","14","16"
"1","257","14","16"
"1","258","14","16"
"1","259","14","16"
"1","260","14","16"
"1","261","14","16"
"1","262","14","16"
"1","263","14","16"
"1","264","14","16"
"1","265","14","16"
"1","266","14","16"
"1","267","14","16"
"1","268","14","16"
"1","269","14","16"
"1","270","14","16"
"1","271","14","16"
"1","272","14","16"
"1","273","14","16"
"1","274","14","16"
"1","275","14","16"
"1","276","14","16"
"1","277","14","16"
"1","278","14","16"
"1","279","14","16"
"1","280","14","16"
"1","281","14","16"
"1","282","14","16"
"1","283","14","16"
"1","284","14","15"
"1","285","14","15"
"1","286","15","15"
"1","287","14","15"
"1","288","14","15"
"1","289","14","15"
"1","290","14","15"
"1","291","14","15"
"1","292","14","15"
"1","293","14","15"
"1","294","14","15"
"1","295","15","15"
"1","296","14","15"
"1","297","15","15"
"1","298","15","15"
"1","299","14","15"
"1","300","14","15"
"1","301","14","15"
"1","302","14","14"
"1","303","14","15"
"1","304","14","15"
"1","305","14","15"
"1","306","14","15"
"1","307","14","15"
"1","308","15","15"
"1","309","15","15"
"1","310","15","15"
"1","311","15","15"
"1","312","15","15"
"1","313","15","15"
"1","314","14","15"
"1","315","14","15"
"1","316","14","15"
"1","317","14","15"
"1","318","14","15"
"1","319","14","15"
"1","320","14","16"
"1","321","14","15"
"1","322","14","15"
"1","323","14","15"
"1","324","14","15"
"1","325","14","15"
"1","326","14","15"
"1","327","14","15"
"1","328","14","15"
"1","329","14","15"
"1","330","14","15"
"1","331","14","15"
"1","332","14","15"
"1","333","14","15"
"1","334","14","15"
"1","335","14","15"
"1","336","14","15"
"1","337","14","15"
"1","338","14","15"
"1","339","14","15"
"1","340","14","15"
"1","341","13","15"
"1","342","14","15"
"1","343","14","15"
"1","344","13","15"
"1","345","14","15"
"1","346","13","15"
