"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelo 0 - periodico.nlogo"
"periodic_experiment_1000"
"08/26/2024 21:32:41:128 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","9","-9","0"
"[run number]","[step]","mean [xcor] of turtles","-1 * mean [ycor] of turtles","standard-deviation ([xcor] of turtles)","standard-deviation ([ycor] of turtles)"
"10","5000","5","4.48","0","0.5046720495044485"
"1","5000","4.48","5","0.5046720495044484","0"
"4","5000","5.52","5","0.5046720495044485","0"
"2","5000","5.52","5","0.5046720495044483","0"
"3","5000","4.48","5","0.5046720495044487","0"
"9","5000","5","4.48","0","0.5046720495044484"
"7","5000","5","4.48","0","0.5046720495044485"
"6","5000","4.48","5","0.5046720495044487","0"
"8","5000","4.48","5","0.5046720495044484","0"
"5","5000","5","4.48","0","0.5046720495044483"
"11","5000","5","5.52","0","0.5046720495044484"
"12","5000","5","4.48","0","0.5046720495044484"
"13","5000","4.48","5","0.5046720495044484","0"
"14","5000","5","4.48","0","0.5046720495044484"
"17","5000","5","4.48","0","0.5046720495044485"
"15","5000","4.48","5","0.5046720495044485","0"
"16","5000","4.48","5","0.5046720495044484","0"
"18","5000","5","4.48","0","0.5046720495044484"
"19","5000","5.52","5","0.5046720495044485","0"
"20","5000","5","4.48","0","0.5046720495044484"
"21","5000","5","5.52","0","0.5046720495044484"
"22","5000","5","4.48","0","0.5046720495044485"
"23","5000","5","5.52","0","0.5046720495044487"
"24","5000","5","5.52","0","0.5046720495044485"
"26","5000","5","5.52","0","0.5046720495044485"
"25","5000","5","4.48","0","0.5046720495044484"
"27","5000","4.48","5","0.5046720495044485","0"
"28","5000","5.52","5","0.5046720495044484","0"
"29","5000","5","5.52","0","0.5046720495044485"
"30","5000","5.52","5","0.5046720495044484","0"
"31","5000","5","5.52","0","0.5046720495044485"
"33","5000","4","5.48","0","0.5046720495044484"
"34","5000","5.52","5","0.5046720495044484","0"
"35","5000","5.52","5","0.5046720495044484","0"
"37","5000","5","5.52","0","0.5046720495044485"
"32","5000","4.48","5","0.5046720495044484","0"
"36","5000","5.52","5","0.5046720495044484","0"
"38","5000","5","4.48","0","0.5046720495044485"
"39","5000","5.52","5","0.5046720495044484","0"
"40","5000","4.48","5","0.5046720495044485","0"
"41","5000","5.52","5","0.5046720495044487","0"
"42","5000","4.48","5","0.5046720495044485","0"
"45","5000","5","5.52","0","0.5046720495044484"
"43","5000","4.48","5","0.5046720495044485","0"
"44","5000","5.52","5","0.5046720495044484","0"
"47","5000","4.48","5","0.5046720495044485","0"
"48","5000","5.52","5","0.5046720495044484","0"
"46","5000","5.52","5","0.5046720495044484","0"
"49","5000","5.52","5","0.5046720495044484","0"
"50","5000","5","4.48","0","0.5046720495044485"
"51","5000","5","5.52","0","0.5046720495044484"
"52","5000","5","4.48","0","0.5046720495044484"
"53","5000","4.48","5","0.5046720495044484","0"
"54","5000","4.48","5","0.5046720495044485","0"
"55","5000","5","5.52","0","0.5046720495044484"
"57","5000","5","5.52","0","0.5046720495044484"
"56","5000","5.52","5","0.5046720495044485","0"
"58","5000","5","5.52","0","0.5046720495044485"
"59","5000","5.52","5","0.5046720495044485","0"
"60","5000","5.52","5","0.5046720495044487","0"
"61","5000","5","5.52","0","0.5046720495044485"
"63","5000","5","5.52","0","0.5046720495044484"
"62","5000","5.52","5","0.5046720495044485","0"
"64","5000","5","4.48","0","0.5046720495044485"
"65","5000","5.52","5","0.5046720495044485","0"
"66","5000","5","4.48","0","0.5046720495044484"
"67","5000","5","5.52","0","0.5046720495044484"
"68","5000","5","5.52","0","0.5046720495044485"
"69","5000","5","4.48","0","0.5046720495044484"
"70","5000","5","4.48","0","0.5046720495044485"
"71","5000","5.52","5","0.5046720495044484","0"
"72","5000","5","5.52","0","0.5046720495044484"
"73","5000","5","4.48","0","0.5046720495044485"
"74","5000","5","5.52","0","0.5046720495044485"
"75","5000","5","5.52","0","0.5046720495044485"
"76","5000","5","5.52","0","0.5046720495044485"
"77","5000","5","5.52","0","0.5046720495044485"
"79","5000","5","4.48","0","0.5046720495044484"
"78","5000","5.52","5","0.5046720495044485","0"
"80","5000","5","4.48","0","0.5046720495044485"
"81","5000","5","4.48","0","0.5046720495044485"
"82","5000","5","5.52","0","0.5046720495044484"
"83","5000","5","5.52","0","0.5046720495044484"
"84","5000","5","4.48","0","0.5046720495044484"
"85","5000","5","5.52","0","0.5046720495044484"
"86","5000","5","4.48","0","0.5046720495044487"
"87","5000","4.48","5","0.5046720495044483","0"
"88","5000","5.52","5","0.5046720495044484","0"
"90","5000","5","4.48","0","0.5046720495044487"
"89","5000","5.52","5","0.5046720495044484","0"
"91","5000","4.48","5","0.5046720495044484","0"
"92","5000","5","4.48","0","0.5046720495044484"
"93","5000","4.48","5","0.5046720495044485","0"
"95","5000","5","4.48","0","0.5046720495044484"
"94","5000","5.52","5","0.5046720495044484","0"
"96","5000","4.48","5","0.5046720495044484","0"
"97","5000","5.52","5","0.5046720495044485","0"
"98","5000","5.52","5","0.5046720495044484","0"
"99","5000","4.48","5","0.5046720495044485","0"
"100","5000","5","4.48","0","0.5046720495044484"
"102","5000","5","5.52","0","0.5046720495044485"
"101","5000","5","4.48","0","0.5046720495044484"
"103","5000","4.48","5","0.5046720495044485","0"
"104","5000","5.52","5","0.5046720495044484","0"
"105","5000","4.52","4","0.5046720495044483","0"
"106","5000","5.52","5","0.5046720495044487","0"
"107","5000","5","4.48","0","0.5046720495044484"
"108","5000","5","5.52","0","0.5046720495044484"
"109","5000","5","5.52","0","0.5046720495044484"
"110","5000","5","5.52","0","0.5046720495044483"
"111","5000","5","5.52","0","0.5046720495044485"
"112","5000","5.52","5","0.5046720495044487","0"
"114","5000","5","5.52","0","0.5046720495044484"
"113","5000","5.52","5","0.5046720495044484","0"
"116","5000","5.52","5","0.5046720495044485","0"
"115","5000","5.52","5","0.5046720495044484","0"
"117","5000","5","5.52","0","0.5046720495044484"
"118","5000","5","5.52","0","0.5046720495044484"
"120","5000","5","5.52","0","0.5046720495044484"
"119","5000","4.48","5","0.5046720495044485","0"
"121","5000","4.48","5","0.5046720495044485","0"
"122","5000","4.48","5","0.5046720495044485","0"
"123","5000","5","5.52","0","0.5046720495044485"
